epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0734,1.41413,2.07666,1.45434,0.7022,0.61649,0.6292,0.30542,1.69937,2.00021,1.62156,0.000474086,0.000474086,0.000474086
2,128.665,1.35729,1.54004,1.39747,0.71842,0.60517,0.62861,0.34275,1.6303,1.70293,1.60484,0.000937874,0.000937874,0.000937874
3,189.235,1.37957,1.44385,1.40173,0.82609,0.65767,0.72792,0.43691,1.47956,1.30176,1.46943,0.00138909,0.00138909,0.00138909
4,249.632,1.33718,1.35058,1.36788,0.85537,0.66085,0.75495,0.42467,1.55712,1.27772,1.4919,0.00137241,0.00137241,0.00137241
5,308.89,1.31532,1.29143,1.34763,0.84309,0.67647,0.75463,0.4412,1.50987,1.2031,1.47699,0.00135355,0.00135355,0.00135355
6,369.437,1.29272,1.22497,1.33484,0.86881,0.72632,0.79181,0.4485,1.51506,1.05147,1.49042,0.00133469,0.00133469,0.00133469
7,430.235,1.27499,1.18439,1.3208,0.87732,0.72454,0.80229,0.48558,1.44225,1.00579,1.42235,0.00131582,0.00131582,0.00131582
8,494.15,1.27423,1.16837,1.31752,0.86281,0.7379,0.80622,0.49183,1.38981,0.95824,1.38451,0.00129696,0.00129696,0.00129696
9,560.896,1.23973,1.13166,1.29837,0.88234,0.74058,0.81661,0.48983,1.4096,0.95048,1.39725,0.0012781,0.0012781,0.0012781
10,625.901,1.2294,1.09026,1.29051,0.88557,0.75664,0.82941,0.51184,1.36276,0.90982,1.35029,0.00125923,0.00125923,0.00125923
11,689.846,1.22672,1.09583,1.29023,0.85987,0.74006,0.80697,0.49281,1.38025,0.93485,1.40105,0.00124037,0.00124037,0.00124037
12,752.841,1.20497,1.07814,1.28105,0.88842,0.75793,0.83247,0.51813,1.34497,0.8725,1.33232,0.00122151,0.00122151,0.00122151
13,816.324,1.20482,1.05407,1.27399,0.88188,0.76606,0.83777,0.53128,1.31774,0.85537,1.32083,0.00120265,0.00120265,0.00120265
14,880.131,1.18858,1.03134,1.26826,0.89932,0.75775,0.84079,0.52829,1.30528,0.84815,1.3121,0.00118378,0.00118378,0.00118378
15,942.63,1.20137,1.02971,1.26545,0.89531,0.76333,0.84383,0.54242,1.2718,0.90841,1.30632,0.00116492,0.00116492,0.00116492
16,1003.79,1.17546,1.02071,1.2613,0.90649,0.77467,0.85848,0.53157,1.35719,0.86887,1.34171,0.00114606,0.00114606,0.00114606
17,1064.28,1.18346,1.00574,1.25422,0.90264,0.75497,0.83133,0.53622,1.31434,0.84034,1.31287,0.0011272,0.0011272,0.0011272
18,1125.32,1.16738,0.99738,1.2512,0.90316,0.7864,0.86027,0.54493,1.29715,0.782,1.31324,0.00110833,0.00110833,0.00110833
19,1187.17,1.15467,0.97142,1.24469,0.8949,0.77325,0.84641,0.54497,1.28341,0.80664,1.29979,0.00108947,0.00108947,0.00108947
20,1248.59,1.15619,0.97268,1.2507,0.89961,0.76993,0.85538,0.54311,1.29483,0.80115,1.29422,0.00107061,0.00107061,0.00107061
21,1309.19,1.15327,0.9596,1.23792,0.91616,0.77946,0.87406,0.55721,1.27541,0.82309,1.29662,0.00105174,0.00105174,0.00105174
22,1375.01,1.13956,0.94935,1.23729,0.9272,0.78576,0.86048,0.56448,1.24481,0.75701,1.27,0.00103288,0.00103288,0.00103288
23,1437.57,1.14338,0.94125,1.23344,0.9099,0.7891,0.86246,0.56298,1.23605,0.7503,1.2641,0.00101402,0.00101402,0.00101402
24,1500.03,1.14407,0.93407,1.22947,0.89663,0.77884,0.86309,0.54155,1.31843,0.79744,1.28226,0.000995156,0.000995156,0.000995156
25,1562.62,1.1111,0.9096,1.22092,0.90513,0.78486,0.86877,0.54784,1.26355,0.75839,1.2688,0.000976293,0.000976293,0.000976293
26,1623.8,1.11499,0.91075,1.21885,0.89124,0.7924,0.8622,0.55721,1.24883,0.75479,1.27651,0.00095743,0.00095743,0.00095743
27,1685.07,1.11586,0.90871,1.21332,0.91804,0.79147,0.87637,0.56737,1.25207,0.74932,1.2692,0.000938567,0.000938567,0.000938567
28,1746.67,1.11713,0.90006,1.21924,0.90711,0.78919,0.87862,0.58389,1.21112,0.71915,1.24833,0.000919704,0.000919704,0.000919704
29,1806.64,1.11251,0.89504,1.21331,0.89566,0.81344,0.87771,0.57969,1.21846,0.68702,1.25702,0.000900842,0.000900842,0.000900842
30,1866.55,1.09212,0.87149,1.20278,0.8968,0.79826,0.87578,0.57638,1.21311,0.69948,1.24883,0.000881979,0.000881979,0.000881979
31,1927.03,1.10351,0.86879,1.19733,0.91332,0.80012,0.88251,0.58124,1.22598,0.69538,1.24349,0.000863116,0.000863116,0.000863116
32,1987.04,1.09499,0.8691,1.20009,0.91891,0.81427,0.88597,0.57751,1.24148,0.6979,1.24803,0.000844253,0.000844253,0.000844253
33,2046.96,1.0772,0.85542,1.19558,0.92506,0.79493,0.88277,0.57808,1.23713,0.69385,1.24696,0.00082539,0.00082539,0.00082539
34,2106.66,1.07979,0.85785,1.199,0.90384,0.80562,0.87942,0.58251,1.22312,0.70435,1.24665,0.000806528,0.000806528,0.000806528
35,2167.22,1.07601,0.86168,1.19767,0.90062,0.81626,0.88227,0.58718,1.2205,0.69516,1.24161,0.000787665,0.000787665,0.000787665
36,2227.3,1.07521,0.85036,1.19304,0.91971,0.81093,0.89009,0.57983,1.21464,0.70585,1.24629,0.000768802,0.000768802,0.000768802
37,2286.86,1.06722,0.83955,1.19347,0.90888,0.80195,0.88446,0.58037,1.22037,0.70215,1.24576,0.000749939,0.000749939,0.000749939
38,2345.07,1.0566,0.82137,1.18654,0.8997,0.78737,0.87732,0.56723,1.26336,0.69888,1.27198,0.000731076,0.000731076,0.000731076
39,2404.68,1.0702,0.82209,1.18633,0.90022,0.82373,0.88723,0.5844,1.21549,0.69044,1.24016,0.000712214,0.000712214,0.000712214
40,2464.88,1.06004,0.83537,1.18737,0.90207,0.8295,0.89214,0.58797,1.22902,0.68304,1.24423,0.000693351,0.000693351,0.000693351
41,2525.23,1.0596,0.81619,1.18129,0.90757,0.80921,0.88607,0.58482,1.22989,0.68123,1.24795,0.000674488,0.000674488,0.000674488
42,2586.13,1.0559,0.82682,1.17768,0.9166,0.81758,0.8889,0.59485,1.20451,0.66922,1.2344,0.000655625,0.000655625,0.000655625
43,2648.32,1.04295,0.8089,1.17191,0.90727,0.81498,0.88339,0.58942,1.18494,0.67047,1.22214,0.000636762,0.000636762,0.000636762
44,2711.78,1.04556,0.7916,1.16486,0.90158,0.82364,0.8854,0.58966,1.20834,0.67323,1.22867,0.0006179,0.0006179,0.0006179
45,2774.09,1.04407,0.80705,1.17376,0.89023,0.82743,0.8836,0.59839,1.16157,0.65099,1.21823,0.000599037,0.000599037,0.000599037
46,2835.73,1.02266,0.78813,1.1646,0.9129,0.82514,0.88943,0.58411,1.23566,0.65806,1.24842,0.000580174,0.000580174,0.000580174
47,2897.33,1.02303,0.77729,1.16041,0.91169,0.80903,0.8874,0.58279,1.21182,0.6669,1.2299,0.000561311,0.000561311,0.000561311
48,2958.24,1.03655,0.77898,1.16528,0.90754,0.80964,0.88054,0.58184,1.22535,0.66169,1.23555,0.000542448,0.000542448,0.000542448
49,3018.87,1.0289,0.77287,1.16046,0.91732,0.81536,0.88911,0.58427,1.22979,0.65793,1.24005,0.000523586,0.000523586,0.000523586
50,3078.76,1.01299,0.76477,1.15592,0.89672,0.83833,0.89224,0.59475,1.19558,0.64509,1.22853,0.000504723,0.000504723,0.000504723
